"GEOID","Name","Year","HS_Ed","Unemployed","Food_Stamps","Poverty"
"39103","Medina County, Ohio",2014,0.8,1.1,1.4,1.4
"39095","Lucas County, Ohio",2014,0.9,1,1.3,1.6
"39151","Stark County, Ohio",2014,0.9,0.9,1.4,1.5
"39041","Delaware County, Ohio",2014,0.7,0.8,1.2,1
"39055","Geauga County, Ohio",2014,1.7,1.3,1.5,2.6
"39085","Lake County, Ohio",2014,1.2,1,1.3,1.4
"39141","Ross County, Ohio",2014,2.7,3.1,3.6,4
"39035","Cuyahoga County, Ohio",2014,0.5,0.6,0.6,0.8
"39109","Miami County, Ohio",2014,2.3,1.4,1.8,2.5
"39017","Butler County, Ohio",2014,0.8,0.9,1.4,1.6
"39155","Trumbull County, Ohio",2014,1.5,1.1,1.6,2
"39173","Wood County, Ohio",2014,1.1,1.4,1.9,2.8
"39057","Greene County, Ohio",2014,1.2,1.3,1.6,2.3
"39043","Erie County, Ohio",2014,1.8,1.8,2.8,4.3
"39153","Summit County, Ohio",2014,0.8,0.7,1,1.1
"39029","Columbiana County, Ohio",2014,1.7,2.2,3.2,2.6
"39099","Mahoning County, Ohio",2014,0.9,1.1,1.7,1.7
"39145","Scioto County, Ohio",2014,2.7,2.6,4,4.8
"39003","Allen County, Ohio",2014,2,2,2.3,2.4
"39023","Clark County, Ohio",2014,1.7,1.6,2.2,2.3
"39093","Lorain County, Ohio",2014,1,1,1.6,1.6
"39113","Montgomery County, Ohio",2014,0.9,1,1.2,1.4
"39165","Warren County, Ohio",2014,1.1,1.2,1.2,1.5
"39007","Ashtabula County, Ohio",2014,1.8,1.6,3,3.6
"39057","Greene County, Ohio",2015,1.6,1.6,2.3,2.3
"39043","Erie County, Ohio",2015,2,2.1,2.9,3.1
"39153","Summit County, Ohio",2015,0.8,0.7,1,1.2
"39029","Columbiana County, Ohio",2015,2.3,2.1,2.8,2.8
"39099","Mahoning County, Ohio",2015,1,1.5,1.8,1.7
"39145","Scioto County, Ohio",2015,2.5,2.5,3.7,4
