"GEOID","Name","Year","HS_Ed","Unemployed","Food_Stamps","Poverty"
"39013","Belmont County, Ohio",2017,91.5,3.9,8.9,6.5
"39153","Summit County, Ohio",2017,92.4,5.2,15,12.7
"39119","Muskingum County, Ohio",2017,88.5,4.5,20,14
"39029","Columbiana County, Ohio",2017,86.5,5.8,15.6,14.5
"39099","Mahoning County, Ohio",2017,91.5,7.5,19.2,18.4
"39009","Athens County, Ohio",2017,89.7,6,15.6,29.4
"39145","Scioto County, Ohio",2017,81.3,5,29.1,20.7
"39103","Medina County, Ohio",2017,94.7,2.9,6.2,5.7
"39095","Lucas County, Ohio",2017,87.8,7.9,18.8,17.9
"39151","Stark County, Ohio",2017,91,6,13.3,14.5
"39003","Allen County, Ohio",2017,89.7,5.5,13,14.9
"39041","Delaware County, Ohio",2017,95.9,2.8,3.7,5.7
"39055","Geauga County, Ohio",2017,89.1,2.2,5.4,6.7
"39085","Lake County, Ohio",2017,91,4.6,7.7,8.8
"39141","Ross County, Ohio",2017,88.1,6.5,20,15.8
"39023","Clark County, Ohio",2017,87.6,6.9,16.4,15.3
"39035","Cuyahoga County, Ohio",2017,90.2,7.3,17.3,18
"39093","Lorain County, Ohio",2017,89.3,4.7,12.2,13.9
"39109","Miami County, Ohio",2017,93.1,4.7,10.7,9.1
"39113","Montgomery County, Ohio",2017,89.6,6.6,14.6,16
"39155","Trumbull County, Ohio",2017,90.2,5,12.9,15.5
"39165","Warren County, Ohio",2017,94,3.5,3.8,4.2
"39173","Wood County, Ohio",2017,95.1,4,6.9,11.6
"39007","Ashtabula County, Ohio",2017,86.6,7.5,18.8,20.6
"39061","Hamilton County, Ohio",2018,91.3,3.9,11.5,15.4
"39049","Franklin County, Ohio",2018,91.7,4.6,10.7,15.5
"39101","Marion County, Ohio",2018,90.3,4.2,17.4,17.5
"39157","Tuscarawas County, Ohio",2018,86.4,4.6,14.2,13.2
"39169","Wayne County, Ohio",2018,87.4,3.1,9.6,8.2
"39017","Butler County, Ohio",2018,90.8,4.4,11.2,12.7
"39089","Licking County, Ohio",2018,92.8,3.7,9.1,8.6
"39139","Richland County, Ohio",2018,86.3,4.4,16.2,13.9
"39063","Hancock County, Ohio",2018,91.8,4,7.6,11.1
"39025","Clermont County, Ohio",2018,91.6,3.3,7.4,7.8
