"county","year","mean","lwr95","upr95"
"Transylvania",2018,1302.0855,788.975,2035.075
"Tyrrell",2018,87.7623,42,165
"Union",2018,4490.8226,2799.925,6793.025
"Vance",2018,2056.2187,1336,3111.025
"Wake",2018,18355.1406,13141.925,25739.1
"Warren",2018,522.1214,328,786
"Washington",2018,328.6885,196,522
"Watauga",2018,988.2684,591.975,1550.075
"Wayne",2018,3170.0564,2165,4648
"Wilkes",2018,3551.9244,2374.975,5127.025
"Wilson",2018,1812.5997,1207,2651.075
"Yadkin",2018,1501.6219,958.975,2210
"Yancey",2018,843.9743,514,1309
"Alamance",2019,3686.9798,2482.975,5267.075
"Alexander",2019,1099.0526,777,1571
"Alleghany",2019,179.4424,109,291
"Anson",2019,395.0258,252,597
"Ashe",2019,680.2158,451,1046
"Avery",2019,513.274,369,734
"Beaufort",2019,2638.961,1794.975,3842
"Bertie",2019,429.6938,268,673
"Bladen",2019,1215.4627,849,1712
"Brunswick",2019,4926.1466,3274.975,7216.05
"Buncombe",2019,7158.6184,4725.95,11434.325
"Burke",2019,2943.0566,2113,4212.075
"Cabarrus",2019,4764.3236,3260.95,6804.025
"Caldwell",2019,2181.5239,1542,3110.075
"Camden",2019,206.4266,97,396
"Carteret",2019,2745.4232,1755,4198
"Caswell",2019,505.662,320,774
"Catawba",2019,3945.4579,2713.95,5688.025
"Chatham",2019,1156.1926,795,1622.025
"Cherokee",2019,777.6148,414,1476.025
"Chowan",2019,407.3114,207,754
"Clay",2019,215.8817,107,453.025
"Cleveland",2019,2014.4004,1372.975,2947.025
"Columbus",2019,2608.6553,1847,3640.025
"Craven",2019,4033.7609,2695,5982.075
"Cumberland",2019,8961.1376,6311.975,12508.025
"Currituck",2019,818.4098,387,1568
"Dare",2019,1724.5842,895,3119.075
"Davidson",2019,4853.3104,3453,6704.025
"Davie",2019,893.8894,616,1290.025
"Duplin",2019,930.3157,612,1360
"Durham",2019,6250.8115,4226,8777.05
"Edgecombe",2019,1461.7349,961,2162.025
"Forsyth",2019,8093.7724,5616.975,11525.15
"Franklin",2019,1806.1517,1231,2578
